Topic,Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex,Men,2015,Lower Bound,30.6,14645376,,,table_total,Men - Eat at least five servings of fruits and/or vegetables per day,Total,81.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex,Men,2015,Upper Bound,41.3,118905625,,,table_total,Men - Eat at least five servings of fruits and/or vegetables per day,Total,99.24
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex,Women,2015,Estimated,39.8,39561055,viz_sex,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,table_total,Women - Eat at least five servings of fruits and/or vegetables per day,Total,31.26
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex,Women,2015,Lower Bound,35.2,93285486,,,table_total,Women - Eat at least five servings of fruits and/or vegetables per day,Total,81.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex,Women,2015,Upper Bound,43.7,102146866,,,table_total,Women - Eat at least five servings of fruits and/or vegetables per day,Total,99.24
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 18-29,2015,Estimated,24.5,38634132,viz_men_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Men 18-29 - Eat at least five servings of fruits and/or vegetables per day,Men,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 18-29,2015,Lower Bound,19.3,100910969,,,,Men 18-29 - Eat at least five servings of fruits and/or vegetables per day,Men,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 18-29,2015,Upper Bound,29.7,122650392,,,,Men 18-29 - Eat at least five servings of fruits and/or vegetables per day,Men,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 30-49,2015,Estimated,30.1,66997962,viz_men_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Men 30-49 - Eat at least five servings of fruits and/or vegetables per day,Men,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 30-49,2015,Lower Bound,26.5,14645376,,,,Men 30-49 - Eat at least five servings of fruits and/or vegetables per day,Men,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 30-49,2015,Upper Bound,33.7,118905625,,,,Men 30-49 - Eat at least five servings of fruits and/or vegetables per day,Men,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 50-69,2015,Estimated,37.9,39561055,viz_men_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Men 50-69 - Eat at least five servings of fruits and/or vegetables per day,Men,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 50-69,2015,Lower Bound,33.4,93285486,,,,Men 50-69 - Eat at least five servings of fruits and/or vegetables per day,Men,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men 50-69,2015,Upper Bound,42.3,102146866,,,,Men 50-69 - Eat at least five servings of fruits and/or vegetables per day,Men,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men  18-69,2015,Estimated,35.9,100910969,viz_men_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Men  18-69 - Eat at least five servings of fruits and/or vegetables per day,Men,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men  18-69,2015,Lower Bound,30.6,122650392,,,,Men  18-69 - Eat at least five servings of fruits and/or vegetables per day,Men,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Men  18-69,2015,Upper Bound,41.3,26188652,,,,Men  18-69 - Eat at least five servings of fruits and/or vegetables per day,Men,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 18-29,2015,Estimated,36.7,26188652,viz_women_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Women 18-29 - Eat at least five servings of fruits and/or vegetables per day,Women,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 18-29,2015,Lower Bound,29,67368731,,,,Women 18-29 - Eat at least five servings of fruits and/or vegetables per day,Women,75.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 18-29,2015,Upper Bound,44.4,39561055,,,,Women 18-29 - Eat at least five servings of fruits and/or vegetables per day,Women,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 30-49,2015,Estimated,37.4,23210141,viz_women_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Women 30-49 - Eat at least five servings of fruits and/or vegetables per day,Women,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 30-49,2015,Lower Bound,33.1,38634132,,,,Women 30-49 - Eat at least five servings of fruits and/or vegetables per day,Women,75.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 30-49,2015,Upper Bound,41.7,100910969,,,,Women 30-49 - Eat at least five servings of fruits and/or vegetables per day,Women,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 50-69,2015,Estimated,45.3,105792761,viz_women_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Women 50-69 - Eat at least five servings of fruits and/or vegetables per day,Women,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 50-69,2015,Lower Bound,40.4,66997962,,,,Women 50-69 - Eat at least five servings of fruits and/or vegetables per day,Women,75.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women 50-69,2015,Upper Bound,50.3,14645376,,,,Women 50-69 - Eat at least five servings of fruits and/or vegetables per day,Women,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women  18-69,2015,Estimated,39.8,67368731,viz_women_age,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Women  18-69 - Eat at least five servings of fruits and/or vegetables per day,Women,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women  18-69,2015,Lower Bound,35.2,39561055,,,,Women  18-69 - Eat at least five servings of fruits and/or vegetables per day,Women,75.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Age,Women  18-69,2015,Upper Bound,43.7,93285486,,,,Women  18-69 - Eat at least five servings of fruits and/or vegetables per day,Women,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Rural Men,2015,Estimated,,93285486,viz_sex_area,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Rural Men - Eat at least five servings of fruits and/or vegetables per day,Men,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Rural Men,2015,Lower Bound,,102146866,,,,Rural Men - Eat at least five servings of fruits and/or vegetables per day,Men,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Rural Men,2015,Upper Bound,,105792761,,,,Rural Men - Eat at least five servings of fruits and/or vegetables per day,Men,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Rural Women,2015,Estimated,,118905625,viz_sex_area,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Rural Women - Eat at least five servings of fruits and/or vegetables per day,Women,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Rural Women,2015,Lower Bound,,23210141,,,,Rural Women - Eat at least five servings of fruits and/or vegetables per day,Women,75.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Rural Women,2015,Upper Bound,,38634132,,,,Rural Women - Eat at least five servings of fruits and/or vegetables per day,Women,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Urban Men,2015,Estimated,,14645376,viz_sex_area,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Urban Men - Eat at least five servings of fruits and/or vegetables per day,Men,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Urban Men,2015,Lower Bound,,118905625,,,,Urban Men - Eat at least five servings of fruits and/or vegetables per day,Men,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Urban Men,2015,Upper Bound,,23210141,,,,Urban Men - Eat at least five servings of fruits and/or vegetables per day,Men,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Urban Women,2015,Estimated,,122650392,viz_sex_area,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,,Urban Women - Eat at least five servings of fruits and/or vegetables per day,Women,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Urban Women,2015,Lower Bound,,26188652,,,,Urban Women - Eat at least five servings of fruits and/or vegetables per day,Women,75.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Sex by Area,Urban Women,2015,Upper Bound,,67368731,,,,Urban Women - Eat at least five servings of fruits and/or vegetables per day,Women,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Total,Total,2015,Estimated,37.9,38634132,viz_total,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,table_total,1.Total - Eat at least five servings of fruits and/or vegetables per day,,
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Total,Total,2015,Lower Bound,34.5,100910969,,,table_total,1.Total - Eat at least five servings of fruits and/or vegetables per day,,
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to eat at least five servings of fruits and/or vegetables per day,Eat at least five servings of fruits and/or vegetables per day,Total,Total,2015,Upper Bound,41.4,122650392,,,table_total,1.Total - Eat at least five servings of fruits and/or vegetables per day,,
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,18-29,2015,Estimated,13.8,14645376,viz_age,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,18-29 - Maintain a healthy body weight or to lose weight,Total,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,18-29,2015,Lower Bound,10.7,118905625,,,,18-29 - Maintain a healthy body weight or to lose weight,Total,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,18-29,2015,Upper Bound,17,23210141,,,,18-29 - Maintain a healthy body weight or to lose weight,Total,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,30-49,2015,Estimated,17.2,93285486,viz_age,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,30-49 - Maintain a healthy body weight or to lose weight,Total,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,30-49,2015,Lower Bound,15,102146866,,,,30-49 - Maintain a healthy body weight or to lose weight,Total,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,30-49,2015,Upper Bound,19.3,105792761,,,,30-49 - Maintain a healthy body weight or to lose weight,Total,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,50-69,2015,Estimated,22.9,122650392,viz_age,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,50-69 - Maintain a healthy body weight or to lose weight,Total,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,50-69,2015,Lower Bound,19.8,26188652,,,,50-69 - Maintain a healthy body weight or to lose weight,Total,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age,50-69,2015,Upper Bound,26,67368731,,,,50-69 - Maintain a healthy body weight or to lose weight,Total,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age, 18-69,2015,Estimated,17.5,118905625,viz_age,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,, 18-69 - Maintain a healthy body weight or to lose weight,Total,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age, 18-69,2015,Lower Bound,15.7,23210141,,,, 18-69 - Maintain a healthy body weight or to lose weight,Total,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age, 18-69,2015,Upper Bound,19.2,38634132,,,, 18-69 - Maintain a healthy body weight or to lose weight,Total,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 18-29,2015,Estimated,,23210141,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Rural 18-29 - Maintain a healthy body weight or to lose weight,Rural,21.19
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 18-29,2015,Lower Bound,,38634132,,,,Rural 18-29 - Maintain a healthy body weight or to lose weight,Rural,54.51
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 18-29,2015,Upper Bound,,100910969,,,,Rural 18-29 - Maintain a healthy body weight or to lose weight,Rural,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 30-49,2015,Estimated,,67368731,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Rural 30-49 - Maintain a healthy body weight or to lose weight,Rural,21.19
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 30-49,2015,Lower Bound,,39561055,,,,Rural 30-49 - Maintain a healthy body weight or to lose weight,Rural,54.51
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 30-49,2015,Upper Bound,,93285486,,,,Rural 30-49 - Maintain a healthy body weight or to lose weight,Rural,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 50-69,2015,Estimated,,66997962,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Rural 50-69 - Maintain a healthy body weight or to lose weight,Rural,21.19
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 50-69,2015,Lower Bound,,14645376,,,,Rural 50-69 - Maintain a healthy body weight or to lose weight,Rural,54.51
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural 50-69,2015,Upper Bound,,118905625,,,,Rural 50-69 - Maintain a healthy body weight or to lose weight,Rural,32.01
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural  18-69,2015,Estimated,,100910969,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Rural  18-69 - Maintain a healthy body weight or to lose weight,Rural,21.19
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural  18-69,2015,Lower Bound,,122650392,,,,Rural  18-69 - Maintain a healthy body weight or to lose weight,Rural,54.51
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Rural  18-69,2015,Lower Bound,,26188652,,,,Rural  18-69 - Maintain a healthy body weight or to lose weight,Rural,54.51
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 18-29,2015,Estimated,,26188652,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Urban 18-29 - Maintain a healthy body weight or to lose weight,Urban,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 18-29,2015,Lower Bound,,67368731,,,,Urban 18-29 - Maintain a healthy body weight or to lose weight,Urban,85.6
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 18-29,2015,Upper Bound,,39561055,,,,Urban 18-29 - Maintain a healthy body weight or to lose weight,Urban,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 30-49,2015,Estimated,,105792761,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Urban 30-49 - Maintain a healthy body weight or to lose weight,Urban,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 30-49,2015,Lower Bound,,66997962,,,,Urban 30-49 - Maintain a healthy body weight or to lose weight,Urban,85.6
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 30-49,2015,Upper Bound,,14645376,,,,Urban 30-49 - Maintain a healthy body weight or to lose weight,Urban,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 50-69,2015,Estimated,,38634132,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Urban 50-69 - Maintain a healthy body weight or to lose weight,Urban,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 50-69,2015,Lower Bound,,100910969,,,,Urban 50-69 - Maintain a healthy body weight or to lose weight,Urban,85.6
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban 50-69,2015,Upper Bound,,122650392,,,,Urban 50-69 - Maintain a healthy body weight or to lose weight,Urban,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban  18-69,2015,Estimated,,39561055,viz_age_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Urban  18-69 - Maintain a healthy body weight or to lose weight,Urban,82.65
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban  18-69,2015,Lower Bound,,93285486,,,,Urban  18-69 - Maintain a healthy body weight or to lose weight,Urban,85.6
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Age by Area,Urban  18-69,2015,Upper Bound,,102146866,,,,Urban  18-69 - Maintain a healthy body weight or to lose weight,Urban,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Area,Rural,2015,Estimated,16.63,26188652,viz_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Rural - Maintain a healthy body weight or to lose weight,Total,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Area,Rural,2015,Lower Bound,14.92,67368731,,,,Rural - Maintain a healthy body weight or to lose weight,Total,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Area,Rural,2015,Upper Bound,18.24,39561055,,,,Rural - Maintain a healthy body weight or to lose weight,Total,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Area,Urban,2015,Estimated,18.38,102146866,viz_area,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,,Urban - Maintain a healthy body weight or to lose weight,Total,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Area,Urban,2015,Lower Bound,16.49,105792761,,,,Urban - Maintain a healthy body weight or to lose weight,Total,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Area,Urban,2015,Upper Bound,20.16,66997962,,,,Urban - Maintain a healthy body weight or to lose weight,Total,96.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Sex,Men,2015,Estimated,14.5,39561055,viz_sex,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,table_total,Men - Maintain a healthy body weight or to lose weight,Total,54.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Sex,Men,2015,Lower Bound,12.4,93285486,,,table_total,Men - Maintain a healthy body weight or to lose weight,Total,11.85
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to maintain a healthy body weight or to lose weight,Maintain a healthy body weight or to lose weight,Sex,Men,2015,Upper Bound,16.5,102146866,,,table_total,Men - Maintain a healthy body weight or to lose weight,Total,96.21
